Federated Investors, Inc.;Federated	Federated
Telephone and Data Systems, Inc.;ITTI	ITTI
Shinhan Financial Group Co., Ltd.;Shinhan Financial Group	Shinhan Financial Group
Piper Jaffray Companies;Piper Jaffray	Piper Jaffray
Woori Financial Group Inc.	友利金融集团公司
Westpac Banking Corporation	西太平洋银行公司
Visteon Corporation;Visteon	伟世通
Westamerica Bancorporation	Westamerica Bancorporation
Starbucks Corporation;Starbucks	星巴克
SVB Financial Group	SVB Financial Group
Synovus Financial Corp.	Synovus Financial Corp.
Webster Financial Corporation	Webster Financial Corporation
Webster Financial Corporation	Webster Financial Corporation
Western Alliance Bancorporation	Western Alliance Bancorporation
Rhinebeck Bancorp, Inc.	Rhinebeck Bancorp, Inc.
PIMCO Energy and Tactical Credit Opportunities Fund	PIMCO Energy and Tactical Credit Opportunities Fund
RMG Acquisition Corp.	RMG Acquisition Corp.
Zynex, Inc.;Zynex	Zynex
Soliton, Inc.;Soliton	Soliton
ShockWave Medical, Inc.;ShockWave	ShockWave
Ruhnn Holding Limited;Ruhnn Holding	如涵控股
RTI Surgical Holdings, Inc.;RTI Surgical	RTI Surgical
OneSpaWorld Holdings Limited	OneSpaWorld Holdings Limited
TCF Financial Corporation	TCF Financial Corporation
Trustmark Corporation;Trustmark	Trustmark
Washington Federal, Inc.;Washington Federal	Washington Federal
Siemens Aktiengesellschaft;Siemens	德国西门子
McKesson Corporation;McKesson	麦克森
WPX Energy, Inc.	WPX Energy, Inc.
TripAdvisor, Inc.;TripAdvisor	猫途鹰
Perrigo Company plc;Perrigo	培瑞克股份有限公司
Magna International Inc.;Magna	麦格纳
Panasonic Corporation;Panasonic	松下电器
Target Corporation;Target	塔吉特
TRW Automotive Holdings Corp.;TRW	天合汽车集团
Mizuho Financial Group, Inc.;Mizuho Financial Group	瑞穗金融集团
Tyson Foods, Inc.;Tyson Foods	泰森食品
Sumitomo Mitsui Financial Group, Inc.	三井住友金融集团
Veolia Environnement	法国威立雅集团
Tech Data Corporation;Tech Data	Tech Data
United States Steel Corporation;U. S. Steel	美国钢铁
Time Warner Inc.;Time Warner	时代华纳
Wells-Gardner Electronics	AG&E Holdings, Inc.
Tucows Inc.;Tucows	Tucows
TransCanada Corporation;TransCanada	TransCanada
Wipro Limited;Wipro	维布络
Companhia Siderurgica Nacional;CSN	巴西国家钢铁
Potash Corporation of Saskatchewan Inc.;PotashCorp	Potash Corporation of Saskatchewan Inc.
Teck Resources Limited;Teck	泰克
Perusahaan Perseroan (Persero) PT Telekomunikasi Indonesia Tbk;Telkom	Telkom
Mobile TeleSystems Public Joint Stock Company;MTS	MTS
Talisman Energy	塔里斯曼能源公司
Bank of America Corporation;Bank of America	美国银行
Remark Holdings, Inc.;Remark Holdings	Remark Holdings
Sinopec Shanghai Petrochemical Company Limited;SPC	上海石化
PLDT Inc.;PLDT	PLDT
Manulife Financial Corporation;MANULIFE-S	宏利金融
International Tower Hill Mines Ltd.;ITH	ITH
Medtronic Public Limited Company;Medtronic	美敦力
United Parcel Service, Inc.;United Parcel	联合包裹
Sutor Technology Group Ltd;SUTOR TECHNOLOGY	森特集团
Sina Corporation;SINA	新浪
THT Heat Transfer Technology, Inc.;THT	巨元公司
Silicon Motion Technology Corporation;Silicon Motion	慧荣科技
Pactera Technology International Ltd.;PACTERA	海辉软件
Linktone Ltd.;LINKTONE	掌上灵通
Vale S.A.;Vale	淡水河谷
Sino-Global Shipping America, Ltd.;Sino-Global	中环球船务
Origin Agritech Limited;Origin	北京奥瑞金
Banco Santander, S.A.;Banco Santander	桑坦德银行
SGOCO Group, Ltd.;SGOCO	上为集团
Prime Acquisition Corp.	Prime Acquisition Corp.
Qihoo 360 Technology Co Ltd;QIHOO 360	奇虎360
Perfect World Co. Ltd.;PERFECT WORLD	完美世界(北京)
Tianyin Pharmaceutical Co., Inc.;TIANYIN PHARMACEUTICAL	天银制药
China Shen Zhou Mining & Resources, Inc.;CHINA SHEN ZHOU MINING & RESOURCES	神舟矿业
SAP SE	SAP SE
Planet Green Holding Corp.	美国绿星球集团
Taiwan Semiconductor Manufacturing Company Limited;TSMC	台积公司
Trina Solar Limited;TRINA	天合光能
United Microelectronics Corporation;UMC	联华电子
Simcere Pharmaceutical Group;SIMCERE PHARMACEUTICAL	先声药业
Shengkai Innovations Inc;SHENGKAI INNOVATIONS	圣恺
ShangPharma Corporation;SHANGPHARMA	尚华医药
WidePoint Corporation;WidePoint	WidePoint
Cogo Group Inc.;COGO	深圳科通
Orchids Paper Products Company;Orchids Paper	Orchids Paper
Pacific Booker Minerals	Pacific Booker Minerals
Paramount Gold Nevada Corp.;Paramount Gold Nevada	Paramount Gold Nevada
Platinum Group Metals Ltd.	Platinum Group Metals Ltd.
PolyMet Mining Corp.;PolyMet Mining	PolyMet Mining
Quaterra Resources	Quaterra Resources
Mad Catz Interactive	Mad Catz Interactive
Tanzanian Royalty Exploration Corporation;Tanzanian Royalty	Tanzanian Royalty
Taseko Mines Limited;Taseko	Taseko
Timberline Resources	Timberline Resources
Metalico	Metalico
Midway Gold	Midway Gold
Minco Gold Corporation;Minco Gold	明科金矿
North American Palladium	North American Palladium
WSP Holdings Limited;WSP HOLDINGS	WSP控股
Seabridge Gold Inc.;Seabridge Gold	Seabridge Gold
Mecox Lane Limited;MECOX LANE	麦考林
UQM Technologies, Inc.;UQM	UQM
UTStarcom Holdings Corp.	UT斯达康控股公司
VisionChina Media Inc;VISIONCHINA MEDIA	华视传媒
Tofutti Brands	Tofutti Brands
Universal Power Group	Universal Power Group
SIFCO Industries, Inc.;SIFCO Industries	SIFCO Industries
Universal Security Instruments, Inc.	Universal Security Instruments, Inc.
SL Industries	SL Industries
WEX Inc.;WEX	WEX
Wireless Telecom Group, Inc.;Wireless Telecom Group	Wireless Telecom Group
Telestone Technologies Corp.;TELESTONE	东方信联
Vimicro International Corporation;VIMICRO INTERNATIONAL	中星微
Uranerz Energy	Uranerz Energy
Uranium Energy Corp.	Uranium Energy Corp.
Vista Gold Corp.;Vista Gold	Vista Gold
21Vianet Group, Inc;21VIANET	世纪互联
Navidea Biopharmaceuticals, Inc.;Navidea Biopharmaceuticals	Navidea Biopharmaceuticals
Aevi Genomic Medicine, Inc.;Aevi Genomic Medicine	Aevi Genomic Medicine
Teligent, Inc.;Teligent	Teligent
Teligent, Inc.;Teligent	Teligent
Nevada Gold & Casinos, Inc.;Nevada Gold & Casinos	Nevada Gold & Casinos
Protalix BioTherapeutics, Inc.;Protalix BioTherapeutics	Protalix BioTherapeutics
Palatin Technologies, Inc.	Palatin Technologies, Inc.
Pernix Therapeutics Holdings, Inc.;Pernix Therapeutics	Pernix Therapeutics
Pernix Therapeutics Holdings, Inc.;Pernix Therapeutics	Pernix Therapeutics
PROLOR Biotech	PROLOR Biotech
Universal Insurance Holdings, Inc.	Universal Insurance Holdings, Inc.
Tengasco, Inc.;Tengasco	Tengasco
Watsco, Inc.;Watsco	华斯科
Power REIT	Power REIT
Triangle Petroleum	Triangle Petroleum
Saga Communications, Inc.	Saga Communications, Inc.
Saga Communications, Inc.	Saga Communications, Inc.
Versar, Inc.	Versar, Inc.
XpresSpa Group, Inc.;XpresSpa Group	XpresSpa Group
Ditech Holding Corporation	Ditech Holding Corporation
Whitestone REIT	Whitestone REIT
Whitestone REIT	Whitestone REIT
Pareteum Corporation;Pareteum	Pareteum
Vantage Drilling	Vantage Drilling
Tompkins Financial Corporation;Tompkins Financial	Tompkins Financial
Teche Holding Company	Teche Holding Company
Sprott Resource Lending	Sprott Resource Lending
CIBT Education Group Inc.;CIBT Education Group	枫华国际
Fang Holdings Limited;Fang.com	房天下
Saratoga Resources	Saratoga Resources
VirnetX Holding Corporation;VirnetX	VirnetX
VirnetX Holding Corporation;VirnetX	VirnetX
Sanchez Midstream Partners LP;Sanchez Midstream Partners	Sanchez Midstream Partners
Contango Oil & Gas Company	Contango Oil & Gas Company
Southwest Georgia Financial Corporation	Southwest Georgia Financial Corporation
Cohen & Company Inc.	Cohen & Company Inc.
Seaboard Corporation;Seaboard	Seaboard
Ladenburg Thalmann Financial Services Inc.;Ladenburg Thalmann	Ladenburg Thalmann
Salisbury Bancorp, Inc.	Salisbury Bancorp, Inc.
Park National Corporation	Park National Corporation
Tri-Tech Holding Inc;TRI-TECH HOLDING	鼎联控股
Sharing Economy International Inc.;Sharing Economy International	共享经济国际
China Petroleum And Chemical Corporation;Sinopec Corp.	中国石化
QKL Stores Inc;QKL STORES	庆客隆
Skystar Bio-Pharmaceutical Company;SKYSTAR BIO-PHARMACEUTICAL	天星生药
TEGNA Inc.;TEGNA	台格纳
LSI Corp.	Lsi电子
Southwest Airlines Co.;Southwest Airlines	西南航空
Lexmark International Inc.	利盟国际
Masco Corporation;Masco	Masco
Moody’s Corporation;Moody’s	穆迪
Meredith Corporation;Meredith	梅瑞狄斯
Massey Energy Co.	梅西能源公司
Noble Energy, Inc.;Noble Energy	诺布尔能源
Pitney Bowes Inc.;Pitney Bowes	必能宝
Plum Creek Timber Co Inc.	梅溪木材
Precision Castparts Corp.;Precision Castparts	精密机件
Metropcs Communications Inc.;MetroPCS Communications	Metropcs通信
The Progressive Corporation;Progressive	前进保险
Parker-Hannifin Corporation;Parker	派克
PerkinElmer, Inc.;PerkinElmer	珀金埃尔默
Prologis, Inc.;Prologis	普洛斯
Pall Corp	颇尔
Pinnacle West Capital Corporation;Pinnacle West	品尼高西方
Pepco Holdings Inc.	波托马克控股
PPG Industries, Inc.;PPG	PPG
Public Storage	大众仓储
Pearson plc;Pearson	培生
Quanta Services, Inc.;Quanta Services	Quanta Services
Pioneer Natural Resources Company;Pioneer	Pioneer
SCANA Corporation;SCANA	SCANA
The Charles Schwab Corporation;Charles Schwab	嘉信理财
Spectra Energy Corp.	Spectra能源
Sealed Air Corporation;Sealed Air	Sealed Air
The Sherwin-Williams Company;Sherwin-Williams	宣伟
The J. M. Smucker Company;Smucker’s	Smucker’s
Wheaton Precious Metals Corp.;Wheaton Precious Metals	Wheaton Precious Metals
Snap-on Incorporated;Snap-on	实耐宝
Scripps Networks Interactive, Inc.	Scripps Networks Interactive, Inc.
Scripps Networks Interactive, Inc.	Scripps Networks Interactive, Inc.
Teradata Corporation;Teradata	天睿
TECO Energy Inc.	Teco能源
Teradyne, Inc.;Teradyne	泰瑞达
Titanium Metals Corp.;Titanium Metals	钛金属
Tiffany & Co.;Tiffany	蒂芙尼
Torchmark Corporation;Torchmark	Torchmark
The Travelers Companies, Inc.;Travelers	旅行者
Total System Services, Inc.;TSYS	TSYS
Textron Inc.;Textron	德事隆
Unum Group;Unum	Unum
Varian Medical Systems, Inc.;Varian	瓦里安
Vulcan Materials Company;Vulcan	Vulcan
Vornado Realty Trust;Vornado	Vornado
Verizon Communications Inc.;Verizon	威瑞森
Waters Corporation;Waters	沃特世
Western Digital Corporation;Western Digital	西部数据
Western Digital Corporation;Western Digital	西部数据
WEC Energy Group, Inc.;WEC Energy	威斯康星能源
MEMC Electronic Materials, Inc.	Memc电子材料
Waste Management, Inc.;Waste Management	废物管理
Wyndham Destinations, Inc.;Wyndham Destinations	温德姆度假目的地
Viavi Solutions Inc.;Viavi Solutions	Viavi Solutions
Level 3 Communications, Inc.	Level 3 Communications, Inc.
Mattel, Inc.;Mattel	美泰
Microchip Technology Incorporated;Microchip Technology	微芯科技
Millicom International Cellular S.A.;Millicom	米雷康姆
Patterson Companies, Inc.	帕特森公司
Sears Holdings Corporation;Sears Holdings	西尔斯控股
Shire plc;Shire	沙尔制药
Sigma-Aldrich Corp	西格玛奥德里奇
Sirius XM Holdings Inc.;Sirius XM	天狼星XM
SanDisk Corp.	晟碟
Teva Pharmaceutical Industries Limited;TEVA	梯瓦制药
Tellabs Inc;Tellabs	特拉伯斯
T. Rowe Price Group, Inc.	T. Rowe Price Group, Inc.
Urban Outfitters, Inc.;Urban Outfitters	Urban Outfitters
Virgin Media Inc.;Virgin Media	维珍传媒
VeriSign, Inc.;Verisign	威瑞信
Vertex Pharmaceuticals Incorporated	Vertex Pharmaceuticals Incorporated
Whole Foods Market, Inc.	美国全食超市公司
Windstream Holdings, Inc.;Windstream	Windstream
Windstream Holdings, Inc.;Windstream	Windstream
Wynn Resorts, Limited;Wynn Resorts	永利度假
Paychex, Inc.;Paychex	沛齐
People's United Financial, Inc.	People's United Financial, Inc.
Lloyds Banking Group plc;Lloyds Banking Group	劳埃德银行
Marriott International, Inc.;Marriott International	万豪国际
McDonald’s Corporation;McDonald's	麦当劳
Macy's, Inc.;Macy's	梅西百货
The PNC Financial Services Group, Inc.	The PNC Financial Services Group, Inc.
Walmart Inc.;Walmart	沃尔玛
Qunar Cayman Islands Limited	北京趣拿信息
Whirlpool Corporation;惠而浦	Whirlpool
Philip Morris International Inc.;PMI	菲利普·莫里斯
The TJX Companies, Inc.;TJX	TJX
PepsiCo, Inc.;PepsiCo	百事
United Technologies Corporation;United Technologies	联合技术
UnitedHealth Group Incorporated;UnitedHealth	联合健康
Walgreen Corp	沃尔格林
Valero Energy Corporation;Valero	瓦莱罗
Petróleo Brasileiro S.A.—Petrobras;Petrobras	巴西石油
PulteGroup, Inc.;PulteGroup	普尔特集团
PetroChina Company Limited;PETROCHINA	中国石油
SEMICONDUCTOR MANUFACTURING INTERNATIONAL CORPORATION;SMIC	中芯国际
The Procter & Gamble Company;P&G	宝洁
Prudential Plc;PRU	保诚
Praxair, Inc.;Praxair	普莱克斯
Thermo Fisher Scientific Inc.;Thermo Fisher Scientific	赛默飞
Visa Inc.;Visa	维萨
Time Warner Cable Inc.	时代华纳有线
Tenet Healthcare Corporation;Tenet Health	Tenet Health
V.F. Corporation;VF	威富
Park City Group, Inc.;Park City Group	Park City Group
Park City Group, Inc.;Park City Group	Park City Group
SED International Holdings	SED International Holdings
Qualcomm Incorporated;Qualcomm	高通
Public Service Enterprise Group Incorporated;PSEG	PSEG
TOTAL S.A.;TOTAL	道达尔
PG&E Corporation	PG&E Corporation
Pfizer Inc.;Pfizer	辉瑞
Weyerhaeuser Company;Weyerhaeuser	惠好
Prudential Financial, Inc.	保德信金融集团
Unilever PLC;Unilever(UK)	联合利华(英国)
Viacom Inc.;Viacom	维亚康姆
Texas Instruments Incorporated;TI	德州仪器
Schlumberger Limited;Schlumberger	斯伦贝谢
Vodafone Group Public Limited Company;Vodafone Group	沃达丰
PACCAR Inc;PACCAR	帕卡
Wells Fargo & Company;Wells Fargo	富国银行
U.S. Bancorp	美国合众银行
Thomson Reuters Corporation;Thomson Reuters	汤森路透
United Continental Holdings, Inc.	联合大陆控股有限公司
TE Connectivity Ltd.;TE Connectivity	泰科电子
Vipshop Holdings Limited;Vipshop	唯品会
58.com Inc.;58.com	58同城
Vital Therapies, Inc.	Vital Therapies, Inc.
Tapestry, Inc.	Tapestry, Inc.
Taiwan Liposome Company, Ltd.;Taiwan Liposome	台湾微脂体
Crown Castle International Corp.;Crown Castle	Crown Castle
Phillips 66	Phillips 66
WGL Holdings, Inc.;WGL Holdings	WGL控股
Westwood Holdings Group, Inc.;Westwood	韦斯特伍德控股集团公司
Sony Corporation;Sony	索尼
Matson, Inc.	Matson, Inc.
Twitter, Inc.;Twitter	推特
Partner Communications Company Ltd.;Partner	Partner
Perma-Fix Environmental Services, Inc.	Perma-Fix Environmental Services, Inc.
Sharps Compliance Corp.	Sharps Compliance Corp.
Patrick Industries, Inc.	Patrick Industries, Inc.
Universal Forest Products, Inc.	Universal Forest Products, Inc.
A. Schulman, Inc.;A. Schulman	A. Schulman
Methanex Corporation;Methanex	梅赛尼斯
Pacific Ethanol, Inc.;Pacific Ethanol	Pacific Ethanol
TerraVia Holdings, Inc.	TerraVia Holdings, Inc.
Standard Diversified Inc.	Standard Diversified Inc.
Synthesis Energy Systems, Inc.	综合能源系统公司
TOR Minerals International, Inc.	TOR Minerals International, Inc.
WD-40 Company	WD-40 Company
United States Lime & Minerals, Inc.	United States Lime & Minerals, Inc.
Mercer International Inc.	Mercer International Inc.
Pan American Silver Corp.	Pan American Silver Corp.
Westwater Resources, Inc.;Westwater Resources	Westwater Resources
Veru Inc.;Veru	Veru
Universal Stainless & Alloy Products, Inc.;Universal Stainless	环球钢铝公司
Tesla, Inc.;Tesla	特斯拉
Gentherm Incorporated;Gentherm	Gentherm
Pacific Biosciences of California, Inc.	Pacific Biosciences of California, Inc.
PGT Innovations, Inc.;PGT Innovations	PGT Innovations
PGT Innovations, Inc.;PGT Innovations	PGT Innovations
Andalay Solar, Inc.	Andalay Solar, Inc.
UFP Technologies, Inc.	UFP Technologies, Inc.
Transcat, Inc.	Transcat, Inc.
Perceptron, Inc.	Perceptron, Inc.
Nanometrics Incorporated;Nanometrics	Nanometrics
Schmitt Industries, Inc.;Schmitt Industries	Schmitt Industries
Telenav, Inc.;Telenav	Telenav
Trimble Inc.;Trimble	Trimble
Uni-Pixel, Inc.	Uni-Pixel, Inc.
Vicor Corporation;Vicor	Vicor
Park-Ohio Holdings Corp.;ParkOhio	ParkOhio
Shiloh Industries, Inc.;Shiloh	Shiloh
Encore Wire Corporation;Encore Wire	Encore Wire
Matthews International Corporation;Matthews International	Matthews International
Sun Hydraulics Corporation;Sun Hydraulics	Sun Hydraulics
West Marine, Inc.	West Marine, Inc.
LSI Industries Inc.;LSI	LSI
Silgan Holdings Inc.	Silgan Holdings Inc.
Powell Industries, Inc.;Powell	Powell
Interface, Inc.;Interface	Interface
Sleep Number Corporation;Sleep Number	Sleep Number
Pool Corporation;Pool Corp	Pool Corp
Schnitzer Steel Industries, Inc.;Schnitzer	史尼索钢铁工业
Virco Mfg. Corporation;Virco	Virco
Willis Lease Finance Corporation;Willis Lease	Willis Lease
Seelos Therapeutics, Inc.	Seelos Therapeutics, Inc.
SEELAS Life Sciences Group, Inc.	SEELAS Life Sciences Group, Inc.
Lexicon Pharmaceuticals, Inc.;Lexicon Pharmaceuticals	莱斯康制药
Merrimack Pharmaceuticals, Inc.;Merrimack	Merrimack
Nature's Sunshine Products, Inc.;Nature's Sunshine	自然阳光
Pacira Pharmaceuticals, Inc.;Pacira	Pacira
Pain Therapeutics, Inc.;Pain Therapeutics	疼痛治疗
Prana Biotechnology Limited;Prana Biotechnology	Prana生物技术
Progenics Pharmaceuticals, Inc.;Progenics Pharmaceuticals	普罗基尼克斯制药
ProPhase Labs, Inc.;ProPhase Labs	ProPhase Labs
SIGA Technologies, Inc.;SIGA Technologies	西佳科技
Sucampo Pharmaceuticals, Inc.;Sucampo	Sucampo
Sunesis Pharmaceuticals, Inc.;Sunesis	Sunesis
Synergy Pharmaceuticals, Inc.;Synergy Pharmaceuticals	Synergy Pharmaceuticals
Madrigal Pharmaceuticals, Inc.;Madrigal Pharmaceuticals	Madrigal Pharmaceuticals
MabVax Therapeutics Holdings, Inc.	MabVax Therapeutics Holdings, Inc.
The Medicines Company	The Medicines Company
Paratek Pharmaceuticals, Inc.;Paratek	Paratek
United Therapeutics Corporation;United Therapeutics	United Therapeutics
Vanda Pharmaceuticals Inc.;Vanda Pharmaceuticals	Vanda Pharmaceuticals
Verastem, Inc.	Verastem, Inc.
Natural Alternatives International, Inc.;NAI	NAI
Magal Security Systems Ltd.;Magal S3	迈高安全系统
Perry Ellis International, Inc.;Perry Ellis	佩里埃利斯
Superior Group of Companies, Inc.	Superior Group of Companies, Inc.
Tandy Leather Factory, Inc.	Tandy Leather Factory, Inc.
Vera Bradley, Inc.;Vera Bradley	Vera Bradley
Weyco Group, Inc.	Weyco Group, Inc.
Willamette Valley Vineyards, Inc.	Willamette Valley Vineyards, Inc.
Universal Electronics Inc.;Universal Electronics	Universal Electronics
S&W Seed Company	S&W Seed Company
VCA Inc.	VCA Inc.
G. Willi-Food International Ltd.;Willi-Food	Willi-Food
Primo Water Corporation;Primo	Primo
United Natural Foods, Inc.	联合天然食品公司
Sanderson Farms, Inc.;Sanderson Farms	桑德森农场
United-Guardian, Inc.	United-Guardian, Inc.
Lifeway Foods, Inc.;Lifeway	Lifeway
Seneca Foods Corporation;Seneca	Seneca
Steven Madden, Ltd.	Steven Madden, Ltd.
Scholastic Corporation;Scholastic	学乐教育
Urban One, Inc.;Urban One	Urban One
Salem Media Group, Inc.;Salem	Salem
Sinclair Broadcast Group, Inc.;Sinclair Broadcast Group	Sinclair Broadcast Group
J.W. Mays, Inc.;J.W. Mays	梅斯物业
Pacific Sunwear of California, Inc.	Pacific Sunwear of California, Inc.
Shoe Carnival, Inc.;Shoe Carnival	Shoe Carnival
Stein Mart, Inc.;Stein Mart	Stein Mart
The Children's Place, Inc.	The Children's Place, Inc.
Trans World Entertainment Corporation;Trans World Entertainment	Trans World Entertainment
Tuesday Morning Corporation;Tuesday Morning	Tuesday Morning
PRGX Global, Inc.;PRGX	PRGX
Village Super Market, Inc.;Village Super Market	Village Super Market
Monarch Casino & Resort, Inc.	Monarch Casino & Resort, Inc.
Penn National Gaming, Inc.;Penn	Penn
Tetra Tech, Inc.;Tetra Tech	Tetra Tech
VSE Corporation	VSE Corporation
Willdan Group, Inc.;Willdan	Willdan
TheStreet, Inc.;TheStreet	TheStreet
National American University Holdings, Inc.;National American University	美国大学国家
Scientific Learning Corporation	Scientific Learning Corporation
Perfumania Holdings, Inc.	Perfumania Holdings, Inc.
Titan Machinery Inc.;Titan Machinery	Titan Machinery
U.S. Auto Parts Network, Inc.;U.S. Auto Parts Network	美国汽车零部件网络
Ulta Beauty, Inc.;Ulta Beauty	Ulta Beauty
Winmark Corporation;Winmark	威玛克
Lightbridge Corporation;Lightbridge	Lightbridge
Mattersight Corporation;Mattersight	Mattersight
VEREIT, Inc.;VEREIT	VEREIT
AMERCO	AMERCO
Nathan's Famous, Inc.;Nathan's	Nathan's
Panera Bread Company	Panera Bread Company
Texas Roadhouse, Inc.;Texas Roadhouse	Texas Roadhouse
The Wendy’s Company;Wendy’s	云狄斯
Tractor Supply Company	Tractor Supply Company
SBA Communications Corporation	SBA Communications Corporation
Westmoreland Coal Company	Westmoreland Coal Company
MGE Energy, Inc.	MGE Energy, Inc.
Plug Power Inc.;Plug Power	普拉格能源
Sevcon, Inc.	Sevcon, Inc.
Ultralife Corporation;Ultralife	Ultralife
Westport Fuel Systems Inc.	Westport Fuel Systems Inc.
Woodward, Inc.	Woodward, Inc.
Tesco Corporation;Tesco	乐购
Tellurian Inc.;Tellurian	Tellurian
Patterson-UTI Energy, Inc.	Patterson-UTI Energy, Inc.
PrimeEnergy Corporation;PrimeEnergy	PrimeEnergy
TransGlobe Energy Corporation	TransGlobe Energy Corporation
U.S. Energy Corp.	U.S. Energy Corp.
Pathfinder Bancorp, Inc.	Pathfinder Bancorp, Inc.
United Financial Bancorp, Inc.	United Financial Bancorp, Inc.
Southern Missouri Bancorp, Inc.;Southern Missouri Bancorp	Southern Missouri Bancorp
Timberland Bancorp, Inc.	Timberland Bancorp, Inc.
United Community Financial Corp.	United Community Financial Corp.
Wellesley Bancorp, Inc.	Wellesley Bancorp, Inc.
Wolverine Bancorp, Inc.	Wolverine Bancorp, Inc.
WVS Financial Corp.	WVS Financial Corp.
SAExploration Holdings, Inc.;SAExploration	SAExploration
Peapack-Gladstone Financial Corporation	Peapack-Gladstone Financial Corporation
Peapack-Gladstone Financial Corporation	Peapack-Gladstone Financial Corporation
Sun Bancorp, Inc.	Sun Bancorp, Inc.
Plumas Bancorp	Plumas Bancorp
180 Degree Capital Corp.	180 Degree Capital Corp.
Medallion Financial Corp.	Medallion Financial Corp.
PRA Group, Inc.	PRA Group, Inc.
Security National Financial Corporation	Security National Financial Corporation
LendingTree, Inc.	LendingTree, Inc.
World Acceptance Corporation	World Acceptance Corporation
Net 1 UEPS Technologies, Inc.;Net 1	Net 1
SEI Investments Company;SEI	SEI
Siebert Financial Corp.;Siebert	Siebert
WisdomTree Investments, Inc.;WisdomTree	WisdomTree
Value Line, Inc.;Value Line	Value Line
Virtus Investment Partners, Inc.;Virtus Investment Partners	Virtus Investment Partners
Two River Bancorp;Two River	Two River
First Financial Corporation	First Financial Corporation
MBT Financial Corp.	MBT Financial Corp.
Macatawa Bank Corporation;Macatawa Bank	Macatawa Bank
Mackinac Financial Corporation	Mackinac Financial Corporation
MB Financial, Inc.	MB Financial, Inc.
Merchants Bancshares, Inc.	Merchants Bancshares, Inc.
MutualFirst Financial, Inc.	MutualFirst Financial, Inc.
Select Bancorp, Inc.	Select Bancorp, Inc.
Pacific Continental Corporation	Pacific Continental Corporation
Pacific Mercantile Bancorp	Pacific Mercantile Bancorp
Pacific Premier Bancorp, Inc.	Pacific Premier Bancorp, Inc.
PacWest Bancorp	PacWest Bancorp
Park Sterling Corporation	Park Sterling Corporation
Parke Bancorp, Inc.	Parke Bancorp, Inc.
Patriot National Bancorp, Inc.	Patriot National Bancorp, Inc.
Penns Woods Bancorp, Inc.	Penns Woods Bancorp, Inc.
Peoples Bancorp Inc.	Peoples Bancorp Inc.
Peoples Bancorp of North Carolina, Inc.	Peoples Bancorp of North Carolina
Peoples Financial Corporation	Peoples Financial Corporation
Pinnacle Financial Partners, Inc.	Pinnacle Financial Partners, Inc.
Premier Financial Bancorp, Inc.	Premier Financial Bancorp, Inc.
PrivateBancorp, Inc.	PrivateBancorp, Inc.
PrivateBancorp, Inc.	PrivateBancorp, Inc.
QCR Holdings, Inc.	QCR Holdings, Inc.
Sandy Spring Bancorp, Inc.	Sandy Spring Bancorp, Inc.
Seacoast Banking Corporation of Florida	Seacoast Banking Corporation of Florida
Shore Bancshares, Inc.	Shore Bancshares, Inc.
Signature Bank	Signature Bank
Simmons First National Corporation	Simmons First National Corporation
Southern First Bancshares, Inc.;Southern First	Southern First
Southside Bancshares, Inc.	Southside Bancshares, Inc.
Summit Financial Group, Inc.;Summit	Summit
SB One Bancorp	SB One Bancorp
Texas Capital Bancshares, Inc.	Texas Capital Bancshares, Inc.
TriCo Bancshares	TriCo Bancshares
TrustCo Bank Corp NY	TrustCo Bank Corp NY
UMB Financial Corporation;UMB	UMB
Union Bankshares, Inc.	Union Bankshares, Inc.
Union Bankshares Corporation	Union Bankshares Corporation
United Bancorp, Inc.;United Bancorp	United Bancorp
United Bancshares, Inc.	United Bancshares, Inc.
United Community Banks, Inc.	United Community Banks, Inc.
Unity Bancorp, Inc.	Unity Bancorp, Inc.
Univest Corporation of Pennsylvania;Univest	Univest
Village Bank and Trust Financial Corp.	Village Bank and Trust Financial Corp.
VSB Bancorp, Inc.	VSB Bancorp, Inc.
Washington Trust Bancorp, Inc.;Washington Trust	Washington Trust
WesBanco, Inc.;WesBanco	WesBanco
Wintrust Financial Corporation;Wintrust	Wintrust
WSFS Financial Corporation	WSFS Financial Corporation
Protective Insurance Corporation	Protective Insurance Corporation
Safety Insurance Group, Inc.;Safety Insurance	Safety Insurance
Selective Insurance Group, Inc.;Selective	Selective
Selective Insurance Group, Inc.;Selective	Selective
The Navigators Group, Inc.;Navigators	Navigators
Unico American Corporation	Unico American Corporation
PICO Holdings, Inc.;PICO Holdings	PICO Holdings
The Community Financial Corporation	The Community Financial Corporation
Lake Shore Bancorp, Inc.	Lake Shore Bancorp, Inc.
Poage Bankshares, Inc.	Poage Bankshares, Inc.
Provident Financial Holdings, Inc.	Provident Financial Holdings, Inc.
SI Financial Group, Inc.	SI Financial Group, Inc.
TFS Financial Corporation	TFS Financial Corporation
Umpqua Holdings Corporation	Umpqua Holdings Corporation
United Community Bancorp	United Community Bancorp
LegacyTexas Financial Group, Inc.	LegacyTexas Financial Group, Inc.
Waterstone Financial, Inc.;New Waterstone	New Waterstone
Wayne Savings Bancshares, Inc.	Wayne Savings Bancshares, Inc.
Western New England Bancorp, Inc.	Western New England Bancorp, Inc.
Western New England Bancorp, Inc.	Western New England Bancorp, Inc.
Vericel Corporation	Vericel Corporation
Neurocrine Biosciences, Inc.	Neurocrine Biosciences, Inc.
