Federated Investors, Inc.;Federated	Federated
Melco Resorts & Entertainment Limited;Melco Resorts & Entertainment	新濠博亚娱乐
Community Health Systems, Inc.	Community Health Systems, Inc.
Community Health Systems, Inc.	Community Health Systems, Inc.
Ctrip.com International, Ltd.;Ctrip	携程网
CNOOC Limited;CNOOC	中国海洋石油
Inter Parfums, Inc.	Inter Parfums, Inc.
Farmer Bros. Co.	Farmer Bros. Co.
The Hain Celestial Group, Inc.;Hain Celestial	Hain Celestial
Entegris, Inc.	Entegris, Inc.
Forward Industries, Inc.	Forward Industries, Inc.
Clarus Corporation;Clarus	Clarus
Escalade, Incorporated	Escalade, Incorporated
Bridgford Foods Corporation	Bridgford Foods Corporation
John B. Sanfilippo & Son, Inc.	John B. Sanfilippo & Son, Inc.
Angie's List, Inc.	Angie's List, Inc.
Insignia Systems, Inc.;Insignia	Insignia
